"StateID" "Year" "area" "x_coord_centroid" "y_coord_centroid" "min_point_x" "max_point_x" "mean_point_x" "std_point_x" "min_point_y" "max_point_y" "mean_point_y" "std_point_y" "min_alt" "max_alt" "range_alt" "mean_alt" "std_alt" "sum_alt" "variety_alt" "majority_alt" "minority_alt" "median_alt" "flag" "notes" "flightsPFreq" "flightsCFreq" "shipsFreq" "flightsPTotal"
"35" "Algeria_Annaba" 2005 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"36" "Algeria_Annaba" 2012 1258.607151 7.616028 36.791323 7.35905 7.831995 7.686861 0.114748 36.57006 36.999239 36.889334 0.117124 -2 975 977 119.8106 159.6181 218894 443 12 -2 49 "" "" NA NA NA NA
"37" "Algeria_Béjaïa" 2001 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"38" "Algeria_Béjaïa" 2006 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"39" "Algeria_Béjaïa" 2008 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"40" "Algeria_Béjaïa" 2003 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"41" "Algeria_Béjaïa" 2004 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"42" "Algeria_Béjaïa" 1999 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"43" "Algeria_Béjaïa" 1997 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"44" "Algeria_Béjaïa" 2000 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"45" "Algeria_Béjaïa" 2002 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA 1 NA
"46" "Algeria_Béjaïa" 1996 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"47" "Algeria_Béjaïa" 2010 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"48" "Algeria_Béjaïa" 2009 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"49" "Algeria_Béjaïa" 2007 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"50" "Algeria_Béjaïa" 2013 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"51" "Algeria_Béjaïa" 2011 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"52" "Algeria_Béjaïa" 2005 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"53" "Algeria_Béjaïa" 2012 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"54" "Algeria_Béjaïa" 1998 3277.864008 4.919855 36.550082 4.41388 5.534 5.038153 0.289824 36.18813 36.895325 36.671249 0.180835 -5 1984 1989 566.8666 344.0023 2693183 1287 1 -5 540 "" "" NA NA NA NA
"55" "Algeria_Oran" 2006 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"56" "Algeria_Oran" 2008 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"57" "Algeria_Oran" 2007 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"58" "Algeria_Oran" 2009 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"59" "Algeria_Oran" 2005 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"60" "Algeria_Oran" 2004 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"61" "Algeria_Oran" 1998 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"62" "Algeria_Oran" 1996 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"63" "Algeria_Oran" 2010 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"64" "Algeria_Oran" 2012 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"65" "Algeria_Oran" 2011 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA 1 NA
"66" "Algeria_Oran" 2001 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"67" "Algeria_Oran" 2003 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"68" "Algeria_Oran" 1997 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"69" "Algeria_Oran" 2000 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"70" "Algeria_Oran" 2002 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA 2 NA
"71" "Algeria_Oran" 2013 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"72" "Algeria_Oran" 1999 2425.160822 -0.568528 35.63981 -1.055481 -0.08953 -0.570522 0.273626 35.31461 35.909569 35.745574 0.121459 -7 746 753 161.6392 125.2656 561373 528 80 -7 111 "" "" NA NA NA NA
"73" "Algeria_Skikda" 2007 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA 1 NA
"74" "Algeria_Skikda" 2009 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"75" "Algeria_Skikda" 2004 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"76" "Algeria_Skikda" 2006 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"77" "Algeria_Skikda" 2012 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"78" "Algeria_Skikda" 1996 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"79" "Algeria_Skikda" 1999 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"80" "Algeria_Skikda" 2008 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"81" "Algeria_Skikda" 2010 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"82" "Algeria_Skikda" 2005 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"83" "Algeria_Skikda" 2001 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"84" "Algeria_Skikda" 1997 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"85" "Algeria_Skikda" 2011 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"86" "Algeria_Skikda" 2013 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"87" "Algeria_Skikda" 2002 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"88" "Algeria_Skikda" 2000 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"89" "Algeria_Skikda" 1998 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"90" "Algeria_Skikda" 2003 4825.277232 6.916004 36.773672 6.239533 7.57093 6.936545 0.364535 36.38903 37.095017 36.945078 0.162901 -7 1244 1251 285.4726 222.1814 1998023 928 3 -7 237 "" "" NA NA NA NA
"91" "American Samoa_Tutuila" 2012 204.682643 -170.359285 -14.277198 -170.846676 -168.143211 -170.320821 0.619414 -14.548615 -14.154816 -14.271842 0.066103 -2 891 893 181.1245 182.891 43651 174 4 -2 132 "" "" NA NA 1 NA
